2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_38: 0.019s — '=)'
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_39: 0.017s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_40: 0.014s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_41: 0.027s — '2'
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_42: 0.020s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR element_43: 0.013s — ''
2026-02-24 04:20:44 | DEBUG    | agent.vision_element_detector       |   OCR total: 2.126s for 43 elements
2026-02-24 04:20:44 | INFO     | agent.vision_element_detector       | Detection done: 43 elements in 2.44s
2026-02-24 04:20:56 | INFO     | agent.appium_manager                | 👆 CLICK (Appium): (995, 715) duration=0.1s
2026-02-24 04:20:58 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.187s — 43 boxes
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.160s — 'Super'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.034s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.161s — 'classic'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 0.031s — 'B'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 0.043s — 'SALEI'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_6: 0.015s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_7: 0.022s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_8: 0.050s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_9: 0.049s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_10: 0.019s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_11: 0.024s — '3'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_12: 0.031s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_13: 0.023s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_14: 0.016s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_15: 0.047s — '30 Sale'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_16: 0.030s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_17: 0.021s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_18: 0.040s — '4d 21h'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_19: 0.018s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_20: 0.019s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_21: 0.036s — '202 Sale'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_22: 0.045s — '202 Sale'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_23: 0.016s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_24: 0.024s — '2'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_25: 0.022s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_26: 0.028s — '4d 21h'
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_27: 0.022s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_28: 0.023s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_29: 0.015s — ''
2026-02-24 04:20:59 | DEBUG    | agent.vision_element_detector       |   OCR element_30: 0.016s — ''
2026-02-24 04:21:00 | DEBUG    | agent.vision_element_detector       |   OCR element_31: 0.059s — '6 202 Sale'
2026-02-24 04:21:00 | DEBUG    | agent.vision_element_detector       |   OCR element_32: 0.015s — ''
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_33: 1.025s — 'Catalina 0 4/4 2 classic Super'
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_34: 0.018s — '30'
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_35: 0.021s — '202'
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_36: 0.014s — ''
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_37: 0.018s — ''
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_38: 0.015s — ''
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_39: 0.015s — ''
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_40: 0.017s — ''
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_41: 0.021s — '=)'
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_42: 0.084s — ''
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR element_43: 0.030s — '2'
2026-02-24 04:21:01 | DEBUG    | agent.vision_element_detector       |   OCR total: 2.453s for 43 elements
2026-02-24 04:21:01 | INFO     | agent.vision_element_detector       | Detection done: 43 elements in 2.77s
2026-02-24 04:21:11 | INFO     | agent.appium_manager                | 👆 CLICK (Appium): (995, 715) duration=0.1s
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.191s — 43 boxes
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.197s — 'Super'
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.035s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_3: 0.173s — 'classic'
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_4: 0.017s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_5: 0.030s — 'B'
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_6: 0.024s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_7: 0.019s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_8: 0.025s — '3'
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_9: 0.045s — 'SALEI'
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_10: 0.019s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_11: 0.048s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_12: 0.022s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_13: 0.019s — ''
2026-02-24 04:21:14 | DEBUG    | agent.vision_element_detector       |   OCR element_14: 0.048s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_15: 0.031s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_16: 0.018s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_17: 0.041s — '4d 21h'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_18: 0.047s — '202 Sale'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_19: 0.048s — '30 Sale'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_20: 0.031s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_21: 0.016s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_22: 0.026s — '2'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_23: 0.019s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_24: 0.024s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_25: 0.024s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_26: 0.027s — '4d 21h'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_27: 0.022s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_28: 0.016s — '30'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_29: 0.016s — ''
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_30: 0.028s — 'SALEI'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_31: 0.043s — '202 Sale'
2026-02-24 04:21:15 | DEBUG    | agent.vision_element_detector       |   OCR element_32: 0.016s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_33: 1.203s — 'catalina 0 4/4 2 classic Super'
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_34: 0.014s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_35: 0.018s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_36: 0.021s — '202'
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_37: 0.017s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_38: 0.021s — '202'
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_39: 0.014s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_40: 0.022s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_41: 0.018s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_42: 0.021s — '=)'
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR element_43: 0.016s — ''
2026-02-24 04:21:16 | DEBUG    | agent.vision_element_detector       |   OCR total: 2.600s for 43 elements
2026-02-24 04:21:16 | INFO     | agent.vision_element_detector       | Detection done: 43 elements in 2.92s
2026-02-24 04:21:30 | INFO     | agent.appium_manager                | 👆 CLICK (Appium): (995, 720) duration=0.1s
2026-02-24 04:21:30 | INFO     | agent.appium_manager                | ⏳ WAIT: 2.0s
2026-02-24 04:21:34 | DEBUG    | agent.vision_element_detector       |   YOLO inference: 0.186s — 44 boxes
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_1: 0.162s — 'Super'
2026-02-24 04:21:35 | DEBUG    | agent.vision_element_detector       |   OCR element_2: 0.033s — ''
